"plot","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","year","ht","shts","infl","code.notes","code2"
"2107","1-ha","DIM","2107",28,29,"A","9",2009,25,4,NA,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",1998,13,1,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",29,30,"E","1",1999,15,2,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2000,17,1,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2001,16,2,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2002,18,2,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2003,14,1,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2004,11,1,0,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2005,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",29,30,"E","1",2006,12,1,NA,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2007,10,1,NA,NA,NA
"2107","1-ha","DIM","2107",29,30,"E","1",2008,6,1,NA,"ULY (3)",NA
"2107","1-ha","DIM","2107",29,30,"E","1",2009,NA,NA,NA,"dead (2)",NA
"2107","1-ha","DIM","2107",30,31,"A","7",1998,38,3,0,NA,"initial.tag.yr"
