"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"5750","CF-2","CF","Esteio-Colosso","1501","950",35,"G","9","9.4",6.2,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","961",77,"I","6","8.2",3.6,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1070",206,"D","6","9.3",3.7,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1148",288,"H","6","0.8",2.1,2006,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1151",291,"I","10","5.7",5.4,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1155",295,"I","10","2.7",4.8,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1180",321,"C","6","8",4.8,2006,"under litter (70)"
"5750","CF-2","CF","Esteio-Colosso","1501","1200",341,"E","6","9.8",6.6,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1214",356,"I","10","6.7",6.7,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1215",357,"H","7","5",7.3,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1234",376,"H","6","3",3,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1251",393,"I","6","9.5",5,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1266",408,"J","10","2",7,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1293",435,"J","8","0.1",5.6,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1307",451,"J","7","0.7",3.4,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1341",485,"D","9","9.2",8.3,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1342",486,"D","9","9.5",8.5,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1410",555,"C","6","2.2",0.9,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1430",575,"C","7","3.9",8,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1481",626,"B","6","0.7",0.1,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1660",806,"B","9","",NA,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1675",821,"B","9","7.5",2.4,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1763",912,"B","9","3.9",7.8,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1766",915,"I","10","",NA,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1780",929,"C","10","6.8",8.4,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1789",938,"I","10","5.5",9.5,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1820",969,"H","7","4.5",1.9,2006,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1009",144,"A","7","9.4",0.5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1066",202,"D","6","5.9",2.7,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1098",234,"F","8","2.3",7.3,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1151",291,"I","10","5.7",5.4,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1165",305,"C","10","4.2",9.5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1220",362,"H","10","4.8",2.2,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1227",369,"H","6","0.3",4.5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1234",376,"H","6","3",3,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1235",377,"H","6","3.2",1.2,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1259",401,"J","9","1",3.8,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1278",420,"J","8","",NA,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1286",428,"J","8","0.9",5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1288",430,"J","6","7.7",5.5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1308",452,"A","6","3.2",8.2,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1372",517,"J","7","7.7",5.3,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1397",542,"F","9","2.3",10,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1481",626,"B","6","0.7",0.1,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1557",702,"J","8","9.7",2,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1566",711,"J","8","3.9",8.7,2007,"resprouting (10)"
"5750","CF-2","CF","Esteio-Colosso","1501","1590",735,"E","6","9.2",8.2,2007,"resprouting (10)"
"5750","CF-2","CF","Esteio-Colosso","1501","1665",811,"C","10","5.1",9.1,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1675",821,"B","9","7.5",2.4,2007,"resprouting (10)"
"5750","CF-2","CF","Esteio-Colosso","1501","1726",872,"C","10","5.3",9,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1735",882,"G","9","6.2",7.7,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1751",899,"D","9","1.7",2.4,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1785",934,"C","10","1.8",7.5,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1787",936,"C","9","9.8",7.4,2007,"under branchfall (90)"
