plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
3346,5752,10-ha,EST,1202,477,E,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2923,5752,10-ha,EST,1202,486,C,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2888,5752,10-ha,EST,1202,494,B,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3087,5752,10-ha,EST,1202,497,C,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3120,5752,10-ha,EST,1202,498,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2866,5752,10-ha,EST,1202,501,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2867,5752,10-ha,EST,1202,502,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2869,5752,10-ha,EST,1202,509,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2870,5752,10-ha,EST,1202,510,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3121,5752,10-ha,EST,1202,542,D,10,FF-6,2001,ULY,NA,TRUE,FALSE,NA,NA,measured
2708,5752,10-ha,EST,1202,558,A,8,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
3089,5752,10-ha,EST,1202,575,C,9,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2583,5752,10-ha,EST,1202,577,A,1,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2852,5752,10-ha,EST,1202,582,B,6,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
3030,5752,10-ha,EST,1202,587,C,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2625,5752,10-ha,EST,1202,601,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2626,5752,10-ha,EST,1202,603,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2776,5752,10-ha,EST,1202,604,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2801,5752,10-ha,EST,1202,606,B,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
